barcode_norm,product_name_old,product_name_new,unit_price_old,unit_price_new,price_diff,price_pct
4061445305750,"Tchibo Variazione szemes, pörkölt kávé 1000 g","Tchibo Variazione szemes, pörkölt kávé 1000 g",9999.0,8189.0,-1810.0,-18.101810181018102
5997100070093,Douwe Egberts Omnia Silk szemes pörkölt kávé 1000 g,Douwe Egberts Omnia Silk szemes pörkölt kávé 1000 g,8999.0,7559.0,-1440.0,-16.00177797533059
5997338170732,"Eduscho Family őrölt, pörkölt kávé 1000 g","Eduscho Family őrölt, pörkölt kávé, 1000 g",7399.0,6089.0,-1310.0,-17.70509528314637
5997349300975,"Bravos Classic őrölt, pörkölt kávé 1000 g","Bravos Classic őrölt, pörkölt kávé 1000 g",7599.0,6299.0,-1300.0,-17.107514146598238
9100000048017,S-Budget kakaós étbevonó tábla 400 g,S-Budget kakaós étbevonó tábla 400 g,2999.0,1789.0,-1210.0,-40.346782260753585
4061445008293,"Tchibo Espresso Sicilia szemes, pörkölt kávé 1 kg","Tchibo Espresso Sicilia szemes, pörkölt kávé, 1000 g",9999.0,8924.0,-1075.0,-10.75107510751075
4061445008279,"Tchibo Espresso Milano szemes, pörkölt kávé 1 kg","Tchibo Espresso Milano szemes, pörkölt kávé 1 kg",9999.0,8924.0,-1075.0,-10.75107510751075
5999139001079,"Connemara ír whiskey 40% 0,7 l","Connemara ír whiskey 40% 0,7 l",20049.0,19054.0,-995.0,-4.962841039453339
5997349300128,Bravos Classic pörkölt szemes kávé 1000 g,Bravos Classic pörkölt szemes kávé 1000 g,7699.0,6814.0,-885.0,-11.494999350565008
4061445344957,"Tchibo Exclusive Good Mood Blend pörkölt, szemes kávé 1000 g","Tchibo Exclusive Good Mood Blend szemes, pörkölt kávé 1000 g",8999.0,8189.0,-810.0,-9.001000111123458
