name_norm,product_name_old,product_name_new,barcode_norm_old,barcode_norm_new,unit_price_old,unit_price_new,price_diff,price_pct
"beluga noble prémium vodka 40% 0,7 l","Beluga Noble prémium vodka 40% 0,7 l","Beluga Noble prémium vodka 40% 0,7 l",5999139000485,5999139000485,14049.0,22099.0,8050.0,57.299451918286
friss hízott liba comb,Friss hízott liba comb,Friss hízott liba comb,5999883536735,5999883536735,3499.5,8964.0,5464.5,156.1508786969567
"spar füstölt, gyorspácolt kolozsvári szalonna","SPAR füstölt, gyorspácolt kolozsvári szalonna","SPAR füstölt, gyorspácolt kolozsvári szalonna",91599903387551,91599903387551,1595.6,4189.0,2593.4,162.53446979192782
"the glenlivet founders reserve whiskey 40% 0,7 l","The Glenlivet Founders Reserve whiskey 40% 0,7 l","The Glenlivet Founders Reserve whiskey 40% 0,7 l",5998829902924,5998829902924,18249.0,20419.0,2170.0,11.891062523973916
grey goose original vodka 40% 700 ml,Grey Goose Original vodka 40% 700 ml,Grey Goose Original vodka 40% 700 ml,5995757005154,5995757005154,20049.0,22099.0,2050.0,10.224948875255624
"panyolai elixír érlelt szatmári szilvapálinka 45% 0,5 l","Panyolai Elixír érlelt szatmári szilvapálinka 45% 0,5 l","Panyolai Elixír érlelt szatmári szilvapálinka 45% 0,5 l",5999881673012,5999881673012,12999.0,14804.0,1805.0,13.88568351411647
"roku japán gin 43% 0,7 l","Roku japán gin 43% 0,7 l","Roku japán gin 43% 0,7 l",5999139000478,5999139000478,15049.0,16849.0,1800.0,11.9609276363878
"panyolai elixír birsalma pálinka 40% 0,5 l","Panyolai Elixír birsalma pálinka 40% 0,5 l","Panyolai Elixír birsalma pálinka 40% 0,5 l",5999881672268,5999881672268,13299.0,15014.0,1715.0,12.895706444093541
jameson irish whiskey 40% 700 ml,Jameson Irish whiskey 40% 700 ml,Jameson Irish whiskey 40% 700 ml,5998829901743,5998829901743,8849.0,10549.0,1700.0,19.211210306249292
"zwack unicum riserva gyógynövénylikőr 40% 0,7 l","Zwack Unicum Riserva gyógynövénylikőr 40% 0,7 l","Zwack Unicum Riserva gyógynövénylikőr 40% 0,7 l",5995099435343,5995099435343,15699.0,17324.0,1625.0,10.350977769284668
