image_url,old_name,new_name,old_barcode,new_barcode,old_price,new_price
https://imageproxy.wolt.com/assets/689b70389bbcfa1dc39bada6,St. Dalfour fekete cseresznye 284 g,"St. Dalfour fekete cseresznye, 284 g",5014271310428.0,5014271310428.0,1999.0,2119.0
https://imageproxy.wolt.com/assets/68a2ee2bc36a14b17030d425,"Baileys eredeti ír krémlikőr 17% 0,7 l","Baileys eredeti ír krémlikőr 17%, 700 ml",5011013100156.0,5011013100156.0,8659.0,9094.0
https://wolt-menu-images-cdn.wolt.com/menu-images/6654467e27f761196caa9ef7/1181bf56-7c3e-11f0-b0ea-c...,Új leveles zeller,Új leveles zeller db,(nincs),(nincs),499.0,509.0
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/d7063c6a-9549-11f0-9f05-a...,Nagyi titka búzafinomliszt BL 55 1 kg,Nagyi titka búzafinomliszt 1 kg,5998400562240.0,5998400562240.0,310.0,310.0
https://imageproxy.wolt.com/assets/689b6dd7f18c6aaa80308e21,"Monday Hello Kitty ropogós gyümölcsízű reggeli gabonapelyhek, búzaliszttel és rizsliszttel 311 g","Monday Hello Kitty ropogós gyümölcsízű reggeli gabonapelyhek, búzaliszttel és rizsliszttel, 311 g",4005528115218.0,4005528115218.0,2199.0,2334.0
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/f3fad0e2-9549-11f0-a55b-b...,Vénusz Omega finomított étolaj 1 l,"Vénusz Omega finomított étolaj, 1000 ml",5997003583027.0,5997003583027.0,819.0,919.0
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/bab23212-9549-11f0-bae0-a...,"Mizo UHT zsírszegény tej 1,5% 1 l","Mizo UHT zsírszegény tej 1.5%, 1000 ml",5998200140174.0,5998200140174.0,399.0,379.0
https://imageproxy.wolt.com/assets/68a2ee2bc36a14b17030d426,"Baileys eredeti ír krémlikőr 17% 0,5 l","Baileys eredeti ír krémlikőr 17%, 500 ml",5011013100170.0,5011013100170.0,6999.0,7349.0
https://imageproxy.wolt.com/assets/689b750c87a8f04a4a7d7e1f,Tchibo Cafissimo Barista Espresso Brasil kávékapszula 10 db 80 g,"Tchibo Cafissimo Barista Espresso Brasil kávékapszula, 80 g, 10 db",4046234835014.0,4061445355526.0,1899.0,1994.0
https://imageproxy.wolt.com/assets/689ba08f87a8f04a4a7db2f8,"Peroni Nastro Azzurro Stile Capri ízesített világos sör keveréke 4,2% 0,33 l","Peroni Nastro Azzurro Stile Capri ízesített világos sör keveréke 4.2%, 330 ml",8008440212252.0,8008440212252.0,549.0,605.0
https://imageproxy.wolt.com/assets/689b70419bbcfa1dc39badc2,St. Dalfour eper 284 g,"St. Dalfour eper, 284 g",5014271400426.0,5014271400426.0,1999.0,2119.0
https://imageproxy.wolt.com/assets/689ba8bc87a8f04a4a7dbc9c,Milford Sweet Cherry cseresznye ízű gyümölcstea 20 filter 40 g,"Milford Sweet Cherry cseresznye ízű gyümölcstea, 40 g, 20 db",9002221014720.0,9002221014720.0,899.0,964.0
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/b0461c58-9549-11f0-8d1e-0...,Tanyasi friss csirke mellfilé,Royal friss tanyasi csirkemellfilé,5999550782380.0,5999550782380.0,2666.84,2706.28
https://imageproxy.wolt.com/assets/689b92b787a8f04a4a7da4d7,REGNUM marha tatár bifsztek 400 g,REGNUM marha tatár bifsztek 350 g,5999033893121.0,(nincs),4990.0,6815.0
https://imageproxy.wolt.com/assets/689bb2ca87a8f04a4a7dd80c,Nestlé Nesquik szirup zsírszegény kakaóporral 403 g,Nestlé Nesquik szirup zsírszegény kakaóporral 300 ml,9002100023874.0,9002100023874.0,2399.0,2599.0
https://imageproxy.wolt.com/assets/689b95a587a8f04a4a7daad3,"Tatratea erdei gyümölcsös tea likőr 62% 0,7 l","Tatratea erdei gyümölcsös tea likőr 62%, 700 ml",5999139000041.0,5999139000041.0,13049.0,14150.0
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/d70664ce-9549-11f0-abcd-6...,Nagyi titka búzarétesliszt BFF 55 1 kg,Nagyi titka búzarétesliszt 1 kg,5998400562042.0,5998400562042.0,329.0,329.0
https://imageproxy.wolt.com/assets/689b8ec8f18c6aaa8030b102,"Żubrówka Biała vodka 37,5% 0,5 l","Żubrówka Biała vodka 37.5%, 500 ml",5998821517645.0,5998821517645.0,3699.0,3989.0
https://imageproxy.wolt.com/assets/689b7e33f18c6aaa80309e0a,"St. Hubertus Eredeti gyógynövénylikőr 33% 0,7 l","St. Hubertus Eredeti gyógynövénylikőr 33%, 700 ml",5995099444451.0,5995099444451.0,5849.0,6485.0
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/ada49af6-9549-11f0-a610-f...,Tanyasi friss rántani való csirke zsigerelve belsőség nélkül,Master Good friss rántani való csirke zsigerelve belsőség nélkül,5999550782342.0,5999550782342.0,2770.3,2880.8
https://imageproxy.wolt.com/assets/689b9afb9bbcfa1dc39bd439,"Pannonhalmi Főapátság Sörfőzde Quadrupel barna sör 10% 0,33 l","Pannonhalmi Főapátság Sörfőzde Quadrupel barna sör 10%, 330 ml",5999860934462.0,5999860934462.0,1049.0,1109.0
https://imageproxy.wolt.com/assets/689b7d9df18c6aaa80309d94,"Corona mexikói világos sör 4,5% 0,355 l","Corona mexikói világos sör 4.5%, 355 ml",5948562510443.0,5948562510443.0,779.0,784.0
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/0ae3ca0a-6e05-11f0-9aaa-7...,Spar n*p bio cukkini 500g,SPAR Natur*pur BIO cukkini 500 g,(nincs),(nincs),899.0,1039.0
https://imageproxy.wolt.com/assets/689b729f87a8f04a4a7d7b1e,Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával 100 g,"Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával, 100 g",3046920028370.0,3046920028370.0,1699.0,2309.0
https://imageproxy.wolt.com/assets/689ba54ef18c6aaa8030d1b9,"Aviko Steak Fries elősütött és gyorsfagyasztott, extra vastag hasábburgonya 750 g","Aviko Steak Fries elősütött és gyorsfagyasztott, extra vastag hasábburgonya, 750 g",8710449001880.0,8710449001880.0,1499.0,1559.0
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/e3f76822-9549-11f0-9ae4-a...,Szatmári Malom búzafinomliszt BL 55 1 kg,Szatmári búzafinomliszt BL-55 1 kg,5997587362247.0,5997587362247.0,221.0,221.0
https://imageproxy.wolt.com/assets/689b8d1cf18c6aaa8030ad5c,Philadelphia Light sajtos szendvicskrém 125 g,"Philadelphia Light sajtos szendvicskrém, 125 g",5998711723170.0,5998711723170.0,1029.0,1114.0
https://imageproxy.wolt.com/assets/689b8d1cf18c6aaa8030ad5d,Philadelphia Original sajtos szendvicskrém 125 g,"Philadelphia Original sajtos szendvicskrém, 125 g",5998711723163.0,5998711723163.0,1029.0,1114.0
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/b04f7aaa-9549-11f0-959f-2...,Tanyasi friss csirke comb,Royal friss tanyasi csirke comb,5999550782397.0,5999550782397.0,1491.7,1551.2
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/62106d8a-9482-11f0-8443-8...,SPAR n*p bio aszalt szilva200 g,SPAR Natur*pur bio aszalt szilva200 g,(nincs),(nincs),1599.0,1695.0
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/b0477328-9549-11f0-a256-4...,Tanyasi friss csirke szárny,Master Good friss tanyasi csirkeszárny,5999550782427.0,5999550782427.0,1557.6,1632.8
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/f9eac610-9549-11f0-872e-c...,"Zott Jogobella 0% élőflórás, sovány joghurt édesítőszerekkel 150 g",Zott Jogobella laktózmentes élőflórás sovány joghurt édesítőszerekkel 150 g,4014500512716.0,4014500512716.0,151.0,151.0
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/ada46b08-9549-11f0-af44-e...,Tanyasi friss csirke zsigerelve belsőség nélkül,Master Good friss tanyasi csirke zsigerelve belsőség nélkül,5999550782359.0,5999550782359.0,2744.55,2991.6
https://imageproxy.wolt.com/assets/689b8d1cf18c6aaa8030ad60,Philadelphia sajtos szendvicskrém zöldfűszerekkel 125 g,"Philadelphia sajtos szendvicskrém zöldfűszerekkel, 125 g",5998711723187.0,5998711723187.0,1029.0,1114.0
https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/0ada0b50-6e05-11f0-9fe2-7...,Spar n*p bio kígyóuborka db,SPAR Natur*pur BIO kígyóuborka db,(nincs),(nincs),699.0,729.0
