barcode,name_file1,internal_conflict_file1,name_file2,internal_conflict_file2,status
3017760524797.0,Dörmi Tejes Krémmel Töltött Puha Piskóta 30 G,False,Dörmi tejes krémmel töltött puha piskóta 30 g,False,conflict
3017760524896.0,Dörmi Csokoládés Krémmel Töltött Puha Piskóta 30 G,False,Dörmi csokoládés krémmel töltött puha piskóta 30 g,False,conflict
5000112682465.0,"Fuze Tea szénsavmentes őszibarack és rózsaízű üdítőital fekete tea kivonattal 1,5 l",False,"Fuze Tea szénsavmentes őszibarack- és rózsaízű üdítőital fekete tea kivonattal 1,5 l",False,conflict
50985081.0,"Halls Mentol-eukaliptuszízű, Töltetlen Keménycukorka 33,5 G",False,"Halls mentol-eukaliptuszízű, töltetlen keménycukorka 33,5 g",False,conflict
57031712.0,Halls Energy Vitab6 Colaízű Töltetlen Keménycukorka 32 G,False,Halls Energy VitaB6 colaízű töltetlen keménycukorka 32 g,False,conflict
5900396032010.0,"Loyd Grog tea málna, méz és szilva ízesítéssel 3 x 30 g (90 g)",False,"Loyd Grog málna-, méz- és szilva ízű teaválogatás 3 x 30 g (90 g)",False,conflict
5997264103156.0,"Lipton Ice Tea csökkentett energiatartalmú, őszibarack ízű szénsavmentes üdítőital 1,5 l",False,"Lipton csökkentett energiatartalmú, őszibarack ízű szénsavmentes üdítőital  1,5 l",False,conflict
5997264103439.0,"Lipton Ice Tea Zero csökkentett energiatartalmú, őszibarack ízű szénsavmentes üdítőital 500 ml",False,"Lipton Ice Tea Zero energiamentes, őszibarack ízű üdítőital feketetea-kivonattal 500 ml",False,conflict
5998003135643.0,HERZ szeletelt sült karaj 90 g,False,HERZ sült karaj 90 g,False,conflict
5998003150790.0,HERZ szeletelt sült sonka 90 g,False,HERZ sült sonka 90 g,False,conflict
5998003150806.0,HERZ szeletelt csemege karaj 90 g,False,HERZ csemege karaj 90 g,False,conflict
5998003165824.0,HERZ füstölt-főtt szeletelt csirkemell sonka 90 g,False,HERZ füstölt-főtt csirkemell sonka 90 g,False,conflict
5998711304522.0,"Győri Édes Csokidarabos Omlós, Mézes Keksz Csokoládédarabokkal 150 G",False,"Győri Édes Csokidarabos omlós, mézes keksz csokoládédarabokkal 150 g",False,conflict
5998711388935.0,Tuc Tejfölös-hagymás ízű Kréker 100 G,False,Tuc tejfölös-hagymás ízű kréker 100 g,False,conflict
5998711388942.0,Tuc Mini Sós Keksz 100 G,False,Tuc Mini sós keksz 100 g,False,conflict
5998711389000.0,Tuc Mini Tejfölös-hagymás ízű Kréker 100 G,False,Tuc Mini tejfölös-hagymás ízű kréker 100 g,False,conflict
5998711723491.0,Milka Alpesi Tejcsokoládé Karamellízű Tejes Krémtöltelékkel és Karamellás Töltelékkel 100 G,False,Milka alpesi tejcsokoládé karamellízű tejes krémtöltelékkel és karamellás töltelékkel 100 g,False,conflict
7622200003938.0,"Milka Milkinis Alpesi Tejcsokoládé Tejes Krémmel Töltve 8 X 10,94 G (87,5 G)",False,"Milka Milkinis alpesi tejcsokoládé tejes krémmel töltve 8 x 10,94 g (87,5 g)",False,conflict
7622201388409.0,7days Croissant Kakaós Töltelékkel 60 G,False,7DAYS croissant kakaós töltelékkel 60 g,False,conflict
7622201388515.0,Oreo Remix Vaníliaízű és Tiramisuízű Töltelékkel Töltött Kakaós Keksz 157 G,False,Oreo Remix vaníliaízű és tiramisuízű töltelékkel töltött kakaós keksz 157 g,False,conflict
7622201389420.0,7days Double Max Croissant Kakaós Töltelékkel és Vaníliaízű Töltelékkel 80 G,False,7DAYS Double Max croissant kakaós töltelékkel és vanília ízű töltelékkel 80 g,False,conflict
7622201392215.0,7days Croissant Epres Töltelékkel 60 G,False,7DAYS croissant epres töltelékkel 60 g,False,conflict
7622201421922.0,Milka Coconut Waffelini Alpesi Tej Felhasználásával Készült Tejcsokoládéval Töltött Ostya 31 G,False,Milka Coconut Waffelini alpesi tej felhasználásával készült tejcsokoládéval töltött ostya 31 g,False,conflict
7622201692568.0,3bit Tejcsokoládéval Bevont Keksz Szelet Mogyoróízű Töltelékkel 46 G,False,3Bit tejcsokoládéval bevont keksz szelet mogyoróízű töltelékkel 46 g,False,conflict
7622202039713.0,7days Max Croissant Karamellízű Töltelékkel 80 G,False,7DAYS Max croissant karamellízű töltelékkel 80 g,False,conflict
7622202202551.0,Tuc Bake Rolls Mini Pizzaízű Kétszersült 150 G,False,Tuc Bake Rolls Mini pizzaízű kétszersült 150 g,False,conflict
7622202202599.0,Tuc Bake Rolls Mini Hagymás-tejfölös ízű Kétszersült 150 G,False,Tuc Mini hagymás-tejfölös ízű kétszersült 150 g,False,conflict
7622202206245.0,Milka Bubbly Cappucino Táblás Csokoládé 97 g,False,Milka Bubbly alpesi tej felhasználásával készült tejcsokoládé cappuccino ízű tejes töltelékkel 97 g,False,conflict
7622202206283.0,Milka Bubbly Kókuszos Táblás Csokoládé 97 g,False,Milka Bubbly alpesi tej felhasználásával készült tejcsokoládé kókuszos töltelékkel 97 g,False,conflict
7622202257124.0,Milka Alpesi Tej Felhasználásával Készült Tejcsokoládé 90 G,False,Milka alpesi tej felhasználásával készült tejcsokoládé 90 g,False,conflict
7622202258077.0,Milka Mmmax Alpesi Tej Felhasználásával Készült Tejcsokoládé Egész Mogyoróval 250 G,False,Milka Mmmax alpesi tej felhasználásával készült tejcsokoládé egész mogyoróval 250 g,False,conflict
7622202287923.0,Milka Wafelini Tejes Tejcsokoládé 31.5 g,False,"Milka Nussini ostya mogyorós töltelékkel, mogyoródarabokkal és tejcsokoládéval bevonva 31,5 g",False,conflict
7622202295133.0,Alpesi tej felhasználásával készült tejcsokoládé karamellizált kekszdarabkákkal 90g,False,Milka alpesi tej felhasználásával készült tejcsokoládé karamellizált kekszdarabkákkal 90 g,False,conflict
7622202323102.0,MILKA TEJES TÁBLÁS CSOKOLÁDÉ 45 g,False,Milka alpesi tej felhasználásával készült tejcsokoládé 45 g,False,conflict
7622202328961.0,MILKA HAZELNUTS TÁBLÁS CSOKOLÁDÉ 45 g,False,Milka alpesi tej felhasználásával készült tejcsokoládé törtmogyoróval 45 g,False,conflict
7622202346354.0,Milka Tuc Alpesi Tej Felhasználásával Készült Tejcsokoládé Sós Krékerrel 35 G,False,Milka Tuc alpesi tej felhasználásával készült tejcsokoládé sós krékerrel 35 g,False,conflict
7622210007476.0,Milka Tuc Alpesi Tejcsokoládé Sós Krékerrel 87 G,False,Milka Tuc alpesi tejcsokoládé sós krékerrel 87 g,False,conflict
7622210018922.0,Oreo Original Vaníliaízű Töltelékkel Töltött Kakaós Keksz 154 G,False,Oreo Original vaníliaízű töltelékkel töltött kakaós keksz 154 g,False,conflict
7622210079008.0,Győri Pilóta Vaníliás ízű Karika 300 G,False,Győri Pilóta vaníliás ízű karika 300 g,False,conflict
7622210137234.0,Oreo Double Creme Vanília ízű Töltelékkel Töltött Kakaós Keksz 170 G,False,Oreo Double Creme vanília ízű töltelékkel töltött kakaós keksz 170 g,False,conflict
7622210137258.0,Oreo Double Creme Vanília ízű Töltelékkel Töltött Kakaós Keksz 157 G,False,Oreo Double Creme vanília ízű töltelékkel töltött kakaós keksz 157 g,False,conflict
7622210277503.0,Milka Mmmax Oreo Alpesi Tejcsokoládé Vanília ízű Tejes Krémtöltelékkel és Kakaós Keksszel 300 G,False,Milka Mmmax Oreo alpesi tejcsokoládé vanília ízű tejes krémtöltelékkel és kakaós keksszel 300 g,False,conflict
7622210346735.0,"Belvita Erdei Gyümölcsös, Gabonás Keksz 6 X 50 G (300 G)",False,"Belvita erdei gyümölcsös, gabonás keksz 6 x 50 g (300 g)",False,conflict
7622210411679.0,Oreo Original Vaníliaízű Töltelékkel Töltött Kakaós Keksz 44 G,False,Oreo Original vaníliaízű töltelékkel töltött kakaós keksz 44 g,False,conflict
7622210594723.0,Milka Thank You Alpesi Tejcsokoládé Praliné Kakaós Krémtöltelékkel 110 G,False,Milka Thank You alpesi tejcsokoládé praliné kakaós krémtöltelékkel 110 g,False,conflict
7622210597342.0,Milka Happy Birthday Alpesi Tejcsokoládé Praliné Tejes Krémtöltelékkel 20 Db 110 G,False,Milka Happy Birthday alpesi tejcsokoládé praliné tejes krémtöltelékkel 20 db 110 g,False,conflict
7622210623317.0,Milka Alpesi Tejcsokoládé Meggyízű Tejes Krémtöltelékkel és Meggyes Gyümölcskrémmel 100 G,False,Milka alpesi tejcsokoládé meggyízű tejes krémtöltelékkel és meggyes gyümölcskrémmel 100 g,False,conflict
7622210635785.0,Milka Közepén Puha Kakaós Keksz Alpesi Tej Felhasználásával Készült Tejcsokoládé Darabokkal 156 G,False,Milka közepén puha kakaós keksz alpesi tej felhasználásával készült tejcsokoládé darabokkal 156 g,False,conflict
7622210669315.0,Milka Choco Brownie Sütemény Alpesi Tejcsokoládéval és Tejcsokoládé Darabokkal 6 Db 150 G,False,Milka Choco Brownie sütemény alpesi tejcsokoládéval és tejcsokoládé darabokkal 6 db 150 g,False,conflict
7622210711472.0,Milka Singles Mix Alpesi Tejcsokoládé Válogatás 138 G,False,Milka Singles Mix alpesi tejcsokoládé válogatás 138 g,False,conflict
7622210818553.0,Milka Choco Wafer Alpesi Tejcsokoládéval Bevont Ostya Kakaós Töltelékkel 5 X 30 G (150 G),False,Milka Choco Wafer alpesi tejcsokoládéval bevont ostya kakaós töltelékkel 5 x 30 g (150 g),False,conflict
7622210826251.0,"Milka Oreo Sandwich Kakaós Kekszek Vaníliaízű, Tejes Krémtöltelékkel Alpesi Tejcsokoládén 92 G",False,"Milka Oreo Sandwich kakaós kekszek vaníliaízű, tejes krémtöltelékkel alpesi tejcsokoládén 92 g",False,conflict
76222498.0,Milka Tender Piskótatekercs Tejes Krémtöltelékkel Tejcsokoládéval Mártva 37 G,False,Milka Tender piskótatekercs tejes krémtöltelékkel tejcsokoládéval mártva 37 g,False,conflict
7622300026752.0,Milka à La Dessert Au Chocolat Alpesi Tejcsokoládé Habosított Kakaós Töltelékkel 100 G,False,Milka à la Dessert au Chocolat alpesi tejcsokoládé habosított kakaós töltelékkel 100 g,False,conflict
7622300291785.0,Milka Alpesi Tej Felhasználásával Készült Tejcsokoládé Eperízű Krémmel Töltve 100 G,False,Milka alpesi tej felhasználásával készült tejcsokoládé eperízű krémmel töltve 100 g,False,conflict
7622300443269.0,"Belvita Kakaós, Gabonás Keksz Csokoládédarabokkal 6 X 50 G (300 G)",False,"Belvita kakaós, gabonás keksz csokoládédarabokkal 6 x 50 g (300 g)",False,conflict
7622300444181.0,Oreo Original Vaníliaízű Töltelékkel Töltött Kakaós Keksz 176 G,False,Oreo Original vaníliaízű töltelékkel töltött kakaós keksz 176 g,False,conflict
7622300570316.0,Tuc Mini Bacon ízű Kréker 100 G,False,Tuc Mini füstölt bacon ízű kréker 100 g,False,conflict
7622300617820.0,Milka Oreo Alpesi Tejcsokoládé Kakaós Kekszdarabokkal és Vaníliaízű Tejes Krémtöltelékkel 100 G,False,Milka Oreo alpesi tejcsokoládé kakaós kekszdarabokkal és vaníliaízű tejes krémtöltelékkel 100 g,False,conflict
7622300731571.0,Dörmi Csokoládés Krémmel Töltött Puha Piskóta 5 X 30 G (150 G),False,Dörmi csokoládés krémmel töltött puha piskóta 5 x 30 g (150 g),False,conflict
7622400719066.0,Milka Alpesi Tej Felhasználásával Készült Tejcsokoládé Tejes Krémtöltelékkel 100 G,False,Milka alpesi tej felhasználásával készült tejcsokoládé tejes krémtöltelékkel 100 g,False,conflict
